Asset Class,VOC Emissions,Acoustic / Vibration,CPU Utilization,Mechanical Load,Axis Elevation / Altitude,Actuator Torque,Thermal Load,Remote Override Flag,Airborne Status,Compromise Risk Index
winged_rat,360.0,53.0,33.370000000000005,349.2,315.6898364325825,73.5,33.07727272727273,0,1,0.0
agv_units,303.0,43.5,130.48000000000002,355.5,323.6122116309669,82.5,4.931818181818182,0,1,0.0
plc_controller,66.0,14.0,150.4,116.1,207.69503687118552,19.0,26.529545454545456,0,0,0.0
agv_units,327.0,28.5,155.38000000000002,370.2,316.60596210118786,74.5,9.036363636363635,0,1,0.0
agv_units,321.0,49.0,166.585,193.8,227.4809953896533,68.0,5.713636363636364,0,0,0.0
winged_rat,411.0,42.5,44.575,338.7,295.2542022856432,72.0,,0,1,0.0
plc_controller,111.0,4.5,159.115,30.0,119.1337430890728,28.0,23.988636363636363,0,0,0.0
agv_units,327.0,35.0,123.01,324.0,343.7938443792576,95.5,5.811363636363637,0,0,0.0
winged_rat,342.0,34.5,64.495,334.5,352.8526118681417,74.0,30.92727272727273,0,1,0.0
plc_controller,72.0,9.5,167.83,111.9,153.8758333659944,18.5,23.69545454545455,0,0,0.0
robot_arm,123.0,52.5,134.215,208.5,279.6169572307925,44.5,31.513636363636365,0,0,3870.0
winged_rat,408.0,37.0,38.35,368.1,307.54432857535045,81.0,32.393181818181816,0,1,0.0
agv_units,336.0,23.5,93.13,359.7,371.39809247043047,77.0,5.029545454545454,0,1,0.0
agv_units,318.0,40.0,130.48000000000002,330.3,331.4929927676835,75.0,7.277272727272727,0,0,0.0
robot_arm,150.0,21.5,225.1,187.5,221.8542752614236,51.5,26.138636363636365,1,0,6003.0
winged_rat,357.0,39.5,45.82000000000001,363.9,308.7931109308098,96.0,36.10681818181818,0,1,0.0
plc_controller,54.0,10.5,151.645,78.30000000000001,120.17503310791878,18.5,27.01818181818182,0,0,0.0
cnc_machine,597.0,80.0,27.145000000000003,340.8,326.14287616907416,92.5,14.80227272727273,0,0,0.0
winged_rat,372.0,39.0,65.74000000000001,353.40000000000003,322.7362248972792,56.5,32.58863636363637,0,1,0.0
cnc_machine,576.0,82.0,28.39,391.2,369.1537143501236,100.0,17.831818181818182,0,0,0.0
cnc_machine,522.0,77.5,48.31,397.5,345.7922743916981,94.0,15.681818181818182,0,0,0.0
robot_arm,102.0,50.0,149.155,284.1,295.03819361257206,56.5,26.62727272727273,0,0,4342.0
agv_units,408.0,23.5,132.97,277.8,332.72725023279986,77.5,6.006818181818183,0,0,0.0
cnc_machine,504.0,83.0,32.125,450.0,386.76535438556886,88.5,16.365909090909092,0,0,0.0
agv_units,333.0,38.5,91.885,326.1,341.63067564674446,83.0,8.645454545454546,0,0,0.0
cnc_machine,540.0,86.0,27.145000000000003,359.7,371.4460775993312,96.5,16.561363636363637,0,0,0.0
plc_controller,57.0,6.5,137.95000000000002,160.20000000000002,174.58089714147204,18.5,26.138636363636365,0,0,0.0
cnc_machine,546.0,84.0,33.370000000000005,416.4,382.0790208902405,83.0,18.320454545454545,0,0,0.0
winged_rat,432.0,44.0,65.74000000000001,326.1,295.2366866306639,47.5,38.940909090909095,0,1,0.0
cnc_machine,600.0,78.5,24.655,426.9,389.0333942989766,98.0,16.854545454545455,0,0,0.0
plc_controller,69.0,16.5,146.66500000000002,103.5,171.2368464653729,16.5,26.529545454545456,0,0,0.0
robot_arm,81.0,41.5,137.95000000000002,216.9,271.0022352983649,58.0,27.506818181818183,0,0,4042.0
agv_units,342.0,31.0,120.52,408.0,340.486442006964,79.5,6.886363636363637,0,1,0.0
agv_units,303.0,44.0,131.72500000000002,332.40000000000003,315.689931169337,81.0,6.300000000000001,0,0,0.0
cnc_machine,549.0,85.0,30.880000000000003,353.40000000000003,343.88304240525184,100.0,17.636363636363637,0,0,0.0
robot_arm,51.0,30.5,121.765,359.7,365.5472606147647,62.5,33.565909090909095,0,0,3538.0
agv_units,366.0,37.5,104.335,307.2,287.39553610408854,60.5,7.277272727272727,0,0,0.0
plc_controller,69.0,9.5,157.87,109.8,198.0378347277566,17.0,24.96590909090909,0,0,0.0
robot_arm,129.0,25.0,236.305,200.1,217.05350046280688,39.0,23.988636363636363,1,0,6400.0
winged_rat,408.0,39.5,44.575,326.1,305.4375324359564,84.5,37.76818181818182,0,1,0.0
agv_units,369.0,37.5,146.66500000000002,303.0,321.97627640322423,90.0,7.4727272727272736,0,0,0.0
plc_controller,108.0,11.0,142.93,40.5,164.73146021669356,12.5,26.822727272727278,0,0,0.0
cnc_machine,546.0,82.0,34.615,347.1,321.5404889425864,98.5,14.11818181818182,0,0,0.0
plc_controller,3.0,16.0,151.645,101.4,203.8471206670322,23.0,24.770454545454548,0,0,0.0
cnc_machine,561.0,79.0,33.370000000000005,447.9,433.19055854842543,96.0,15.193181818181818,0,0,0.0
plc_controller,87.0,12.0,159.115,183.3,189.2096764396534,21.5,25.747727272727275,0,0,0.0
agv_units,396.0,7.0,132.97,317.7,315.56344795666587,86.0,5.420454545454545,0,0,0.0
robot_arm,195.0,22.0,142.93,206.4,263.653603117733,44.0,28.581818181818186,0,0,3494.0
plc_controller,24.0,7.5,154.13500000000002,151.8,190.90807253861385,25.0,33.565909090909095,0,0,0.0
robot_arm,162.0,42.0,124.255,237.9,268.0687403454499,66.0,28.97272727272728,0,0,3267.0
robot_arm,114.0,21.5,240.04,233.7,239.0165327251906,44.0,27.213636363636365,1,0,6601.0
cnc_machine,540.0,75.0,13.45,397.5,406.7343370721915,90.0,17.831818181818182,0,0,0.0
agv_units,300.0,46.5,151.645,336.6,364.9453124137826,68.0,8.059090909090909,0,0,0.0
cnc_machine,549.0,83.0,27.145000000000003,433.2000000000001,372.2205650709325,89.0,15.584090909090907,0,0,0.0
robot_arm,189.0,49.0,149.155,250.5,248.5216865773,46.5,29.754545454545458,0,0,3961.0
winged_rat,465.0,40.5,42.085,338.7,308.1218197916767,67.5,39.331818181818186,0,1,0.0
robot_arm,288.0,23.5,135.46,210.6,229.37167202490403,67.0,31.904545454545456,0,0,2929.0
cnc_machine,534.0,83.5,20.92,439.5,358.42179709116385,86.0,16.463636363636365,0,0,0.0
robot_arm,129.0,37.5,131.72500000000002,227.4,254.5191121095658,73.5,26.23636363636364,0,0,3598.0
robot_arm,246.0,30.0,160.36,240.0,228.53513716858484,72.5,25.55227272727273,0,0,3898.0
plc_controller,75.0,5.0,139.19500000000002,103.5,188.26849461516275,17.5,27.506818181818183,0,0,0.0
winged_rat,303.0,47.5,49.55500000000001,353.40000000000003,340.10267519088364,84.0,41.09090909090909,0,1,0.0
winged_rat,444.0,40.5,,355.5,347.9968561718833,82.5,39.13636363636364,0,1,0.0
plc_controller,54.0,4.5,181.525,153.9,205.88254801661637,12.5,30.145454545454548,0,0,0.0
plc_controller,132.0,16.0,150.4,126.6,188.6411530747044,20.5,29.363636363636363,0,0,0.0
cnc_machine,546.0,80.0,10.96,328.2,307.2007208510298,99.0,19.004545454545458,0,0,0.0
robot_arm,132.0,23.0,145.42000000000002,181.2,160.80499021065776,59.0,33.565909090909095,0,0,3868.0
cnc_machine,576.0,73.0,14.695,437.4,372.1346062205775,98.5,15.681818181818182,0,0,0.0
winged_rat,417.0,32.5,48.31,378.6,332.5485519236449,71.0,37.37727272727273,0,1,0.0
robot_arm,102.0,41.5,151.645,261.0,268.03554506720303,61.5,26.822727272727278,0,0,4247.0
agv_units,336.0,41.0,113.05,334.5,313.4023524713485,87.0,7.277272727272727,0,0,0.0
plc_controller,57.0,4.0,166.585,97.2,154.66179804247955,26.5,24.770454545454548,0,0,0.0
robot_arm,144.0,23.0,213.895,185.4,223.6802455704004,42.0,28.093181818181822,1,0,5618.0
